epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,21046.8,1.05403,0.94243,1.11873,0.69568,0.61012,0.65521,0.44153,1.09362,1.08161,1.1349,0.000371313,0.000371313,0.000371313
43,21547.8,1.06028,0.93933,1.11678,0.67015,0.60936,0.66128,0.45707,1.0995,1.05463,1.14053,0.000365125,0.000365125,0.000365125
44,22049.1,1.04843,0.92689,1.1107,0.69279,0.57961,0.66137,0.45951,1.098,1.07435,1.14398,0.000358938,0.000358938,0.000358938
45,22550.9,1.04693,0.92199,1.11156,0.66291,0.62258,0.67243,0.47441,1.09497,1.03314,1.13821,0.00035275,0.00035275,0.00035275
46,23051.9,1.05049,0.91409,1.1116,0.69045,0.65226,0.68447,0.46919,1.10476,1.06995,1.14778,0.000346563,0.000346563,0.000346563
47,23552.1,1.03985,0.90585,1.1076,0.69477,0.59146,0.66122,0.46058,1.09959,1.0624,1.13033,0.000340375,0.000340375,0.000340375
48,24048.3,1.03557,0.90213,1.10459,0.63815,0.66133,0.67149,0.46571,1.11027,1.05223,1.1447,0.000334188,0.000334188,0.000334188
49,24545.3,1.02891,0.89257,1.10196,0.7258,0.61856,0.67423,0.46468,1.09802,1.05169,1.13737,0.000328,0.000328,0.000328
50,25041.3,1.03243,0.884,1.10035,0.65822,0.64715,0.67725,0.46756,1.11218,1.05995,1.15129,0.000321812,0.000321812,0.000321812
51,25537,1.02464,0.87916,1.10033,0.64576,0.62581,0.65131,0.45134,1.09832,1.04411,1.13686,0.000315625,0.000315625,0.000315625
52,26032.5,1.01553,0.87131,1.09604,0.71181,0.60344,0.66504,0.46142,1.09005,1.04602,1.12229,0.000309437,0.000309437,0.000309437
53,26529.8,1.01675,0.86017,1.09429,0.66738,0.63035,0.67014,0.46356,1.11627,1.04641,1.14052,0.00030325,0.00030325,0.00030325
54,27025.4,1.01657,0.85691,1.08948,0.67105,0.65047,0.66658,0.46306,1.11265,1.06329,1.14039,0.000297063,0.000297063,0.000297063
55,27521.8,1.01517,0.84828,1.09376,0.65998,0.61739,0.66803,0.46206,1.10065,1.06004,1.14053,0.000290875,0.000290875,0.000290875
56,28037.6,1.01259,0.8492,1.0944,0.66949,0.63771,0.66631,0.47009,1.09448,1.04256,1.13254,0.000284688,0.000284688,0.000284688
57,28533.1,1.00564,0.83849,1.08654,0.72882,0.60714,0.67979,0.4766,1.10662,1.03669,1.13991,0.0002785,0.0002785,0.0002785
58,29028,1.00998,0.83857,1.08811,0.70083,0.61283,0.66207,0.4625,1.12021,1.06851,1.14917,0.000272313,0.000272313,0.000272313
59,29529.7,1.00437,0.83416,1.08278,0.72037,0.61478,0.65691,0.45547,1.11415,1.08464,1.15211,0.000266125,0.000266125,0.000266125
60,30028.8,0.99931,0.82773,1.08328,0.70927,0.60358,0.66409,0.46764,1.1008,1.03381,1.14123,0.000259938,0.000259938,0.000259938
61,30530.4,0.99619,0.81898,1.07663,0.72253,0.6386,0.68681,0.4642,1.1028,1.04134,1.13748,0.00025375,0.00025375,0.00025375
62,31031.3,0.9874,0.80825,1.07152,0.69866,0.63785,0.66498,0.45469,1.10174,1.05507,1.13573,0.000247563,0.000247563,0.000247563
63,31532.1,0.99313,0.80356,1.0777,0.70537,0.61853,0.67696,0.47878,1.09784,1.03668,1.13853,0.000241375,0.000241375,0.000241375
64,32034.4,0.9894,0.80822,1.07755,0.68004,0.66292,0.67707,0.47408,1.11323,1.04935,1.14773,0.000235188,0.000235188,0.000235188
65,32537.2,0.98311,0.79588,1.07504,0.7185,0.59921,0.67447,0.47619,1.11142,1.02732,1.15048,0.000229,0.000229,0.000229
66,33039.1,0.98017,0.79411,1.07202,0.71239,0.59683,0.65927,0.46785,1.10633,1.03604,1.14303,0.000222813,0.000222813,0.000222813
67,33541.1,0.98138,0.79096,1.075,0.71058,0.59799,0.67426,0.47478,1.10535,1.04977,1.14096,0.000216625,0.000216625,0.000216625
68,34041.6,0.97331,0.77842,1.06596,0.69123,0.61592,0.66108,0.46655,1.09912,1.05557,1.13728,0.000210437,0.000210437,0.000210437
69,34541.8,0.96816,0.78141,1.06846,0.70199,0.60464,0.66445,0.46998,1.10757,1.03844,1.14144,0.00020425,0.00020425,0.00020425
70,35044.3,0.96721,0.77269,1.06303,0.72804,0.59725,0.66122,0.46718,1.10326,1.02481,1.14198,0.000198063,0.000198063,0.000198063
71,35545.1,0.97472,0.78182,1.06756,0.63982,0.68074,0.65742,0.45915,1.10082,1.02474,1.13819,0.000191875,0.000191875,0.000191875
72,36046.1,0.96176,0.75645,1.05497,0.72846,0.64775,0.68387,0.46978,1.10357,1.02084,1.13919,0.000185688,0.000185688,0.000185688
73,36549,0.96413,0.76603,1.06227,0.7336,0.58671,0.68315,0.47859,1.10054,1.02563,1.13898,0.0001795,0.0001795,0.0001795
74,37050.1,0.95879,0.76161,1.06078,0.74544,0.60888,0.68795,0.47951,1.1109,1.03047,1.14538,0.000173313,0.000173313,0.000173313
75,37550.8,0.95367,0.74331,1.05676,0.74279,0.62095,0.67483,0.47454,1.10965,1.02449,1.14167,0.000167125,0.000167125,0.000167125
76,38052.2,0.95149,0.74739,1.05353,0.76171,0.59501,0.67511,0.47267,1.10985,1.02223,1.14567,0.000160938,0.000160938,0.000160938
77,38553.6,0.94611,0.74288,1.0535,0.74105,0.61669,0.67721,0.47615,1.1039,1.03906,1.13751,0.00015475,0.00015475,0.00015475
78,39055.2,0.9495,0.74268,1.05362,0.73043,0.636,0.68576,0.48546,1.1066,1.02238,1.13985,0.000148563,0.000148563,0.000148563
79,39558.4,0.94581,0.73398,1.05482,0.72574,0.63303,0.68524,0.48164,1.10977,1.03156,1.14713,0.000142375,0.000142375,0.000142375
80,40061.6,0.94313,0.72707,1.05106,0.73795,0.64535,0.68657,0.47989,1.10275,1.0338,1.14135,0.000136187,0.000136187,0.000136187
81,40563.9,0.9309,0.72317,1.04565,0.75745,0.61035,0.68542,0.47954,1.11252,1.01846,1.1534,0.00013,0.00013,0.00013
82,41065.2,0.93487,0.72076,1.04445,0.75986,0.60446,0.68256,0.47518,1.11893,1.03099,1.15357,0.000123812,0.000123812,0.000123812
83,41567.9,0.94168,0.71691,1.04719,0.68705,0.65192,0.68139,0.47423,1.13043,1.04919,1.16489,0.000117625,0.000117625,0.000117625
84,42068.2,0.92646,0.70877,1.0456,0.70502,0.65301,0.68555,0.4815,1.11717,1.03347,1.15363,0.000111438,0.000111438,0.000111438
85,42569,0.92697,0.70311,1.04103,0.748,0.60508,0.68045,0.47892,1.11682,1.02886,1.14976,0.00010525,0.00010525,0.00010525
86,43069.5,0.92457,0.70669,1.03925,0.69834,0.64521,0.69004,0.48728,1.11836,1.03159,1.15279,9.90625e-05,9.90625e-05,9.90625e-05
87,43575.1,0.92815,0.70575,1.04405,0.73425,0.62803,0.68377,0.47945,1.12249,1.04355,1.1529,9.2875e-05,9.2875e-05,9.2875e-05
88,44076.8,0.92511,0.70019,1.04275,0.69566,0.66409,0.69276,0.4812,1.12199,1.03622,1.15364,8.66875e-05,8.66875e-05,8.66875e-05
89,44577.8,0.92283,0.69899,1.04066,0.73407,0.63538,0.68911,0.47904,1.12369,1.03123,1.15863,8.05e-05,8.05e-05,8.05e-05
90,45078.4,0.91133,0.68245,1.03509,0.74644,0.62832,0.68744,0.47985,1.1307,1.03083,1.16084,7.43125e-05,7.43125e-05,7.43125e-05
91,45569.2,0.88647,0.61514,1.01484,0.7019,0.64224,0.67551,0.46559,1.12784,1.03235,1.16668,6.8125e-05,6.8125e-05,6.8125e-05
92,46059.9,0.86819,0.58269,1.00712,0.75805,0.60493,0.6772,0.47294,1.1217,1.02963,1.15913,6.19375e-05,6.19375e-05,6.19375e-05
93,46550.8,0.86031,0.57295,0.99813,0.73215,0.62124,0.67843,0.47233,1.12613,1.04133,1.15855,5.575e-05,5.575e-05,5.575e-05
94,47041.7,0.85873,0.56662,0.99813,0.72395,0.62543,0.67804,0.47299,1.12399,1.04174,1.16022,4.95625e-05,4.95625e-05,4.95625e-05
95,47533.2,0.85208,0.56219,0.99472,0.73972,0.61025,0.68012,0.47859,1.12466,1.03352,1.16097,4.3375e-05,4.3375e-05,4.3375e-05
96,48024.1,0.84873,0.55883,0.99149,0.75035,0.60772,0.68017,0.47862,1.11885,1.02954,1.15718,3.71875e-05,3.71875e-05,3.71875e-05
97,48515.3,0.8465,0.55433,0.99856,0.70885,0.64152,0.6813,0.47808,1.11976,1.03856,1.15858,3.1e-05,3.1e-05,3.1e-05
98,49005.4,0.8448,0.55084,0.99232,0.71488,0.62957,0.68208,0.48009,1.12056,1.0341,1.15898,2.48125e-05,2.48125e-05,2.48125e-05
99,49494.9,0.83909,0.54989,0.98938,0.75085,0.60363,0.6804,0.47947,1.12047,1.03414,1.15772,1.8625e-05,1.8625e-05,1.8625e-05
100,49984.3,0.84035,0.54453,0.99305,0.7047,0.63197,0.68159,0.47981,1.12088,1.03297,1.15922,1.24375e-05,1.24375e-05,1.24375e-05
